x,Dx,Dx_i,lx,qx
0,15758,63,100000,0.00783
1,3169,275,99217,0.00168
5,1634,268,99050,0.00092
10,1573,217,98959,0.0009
15,3955,318,98870,0.00236
20,4948,467,98637,0.00262
25,6491,856,98379,0.00314
30,9428,1924,98070,0.00425
35,12027,3532,97653,0.00584
40,15543,5958,97083,0.00818
45,19264,8434,96289,0.0133
50,25384,11673,95008,0.02095
55,37211,17078,93018,0.03371
60,59431,25263,89882,0.05155
65,88087,33534,85249,0.07669
70,114693,36695,78711,0.11552
75,143554,36571,69618,0.17427
80,164986,30220,57486,0.27363
85,320578,32739,41756,1
,,,,
